position,skills,experience,company_name,job_locations,education,job_type,workplace,vacancies,salary,posted_date,deadline,source,job_url
IT Systems & Data Specialist (US Hours / Night Shift),Cloud Computing; Data analysis; MySQL; Python,2 to 5 years The applicants should have experience in the following business area(s): IT Enabled Service,A Renowned Company,Sylhet,"Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Data Science Bachelor’s/Master’s degree in CSE, Computer Science, Data Science, Statistics, Business Analytics, Mathematics, ",FullTime,,1,Negotiable,2026-09-23,2026-10-23,bdjobs.com,https://bdjobs.com/h/details/1537213
Data Management Officer,Computer Science; Engineering; Data Science; SQLite; Firebase; PostgreSQL; Azure,"3 to 5 years The applicants should have experience in the following business area(s): Govt./ Semi Govt./ Autonomous body, Development Agency",The Bangladesh Red Crescent Society,Dhaka,Bachelor of Science (BSc) in Information Technology Bachelor of Science (BSc) in Information Management Master of Science (MSc) in Information Technology A bachelor’s degree on technical discipline wi,Contract,,1,Tk. 80000 (Monthly),2026-09-23,2026-09-28,bdjobs.com,https://bdjobs.com/h/details/1537277
Associate Executive/ Executive (System Engineer) - IT,Backup Storage System; Cloud Computing; Hardware & Networking; Infrastructure Development; IT Infrastructure and Network Implementation; IT System Management; Linux OS,"1 to 3 years The applicants should have experience in the following business area(s): Group of Companies, Plastic/ Polymer Industry, Sanitary ware, Steel, Tiles/Ceramic",AKIJBASHIR GROUP,Dhaka (Banani),Bachelor of Science (BSc) in Computer Science & Engineering Microsoft Certified: Azure Solutions Architect Expert VMware Certified Professional (VCP) ITIL 4 Foundation Red Hat Certified Engineer (RHCE,FullTime,Office,1,Negotiable,2026-09-23,2026-10-02,bdjobs.com,https://bdjobs.com/h/details/1537102
IT Officer,CCNA (Cisco Certified Network Associate); Endpoint Security; Hardware Troubleshooting; ISP; LAN; WAN; Microsoft intune,At least 5 years The applicants should have experience in the following business area(s): Development Agency,The Asia Foundation,Dhaka,Bachelor of Science (BSc) in Information Technology Bachelor of Science (BSc) in Computer Science Diploma in Engineering in Information Technology Diploma in Engineering in Computer Science Bachelor’s,FullTime,,1,--,2026-09-23,2026-10-07,bdjobs.com,https://bdjobs.com/h/details/1537095
Software Engineer,Software Architect; Software Development; Software Engineering; Software Implementation; Python; JavaScript; HTML & CSS; React.js,NA,1 Technologies Ltd,Dhaka,"Masters in Computer Application (MCA) in Computer Science & Engineering, Computer Engineering, Computer Science Bachelor of Computer Application (BCA) in Computer Science & Engineering, Computer Scien",FullTime,Office,10,Negotiable,2026-09-23,2026-10-23,bdjobs.com,https://bdjobs.com/h/details/1536954
Manager/AGM – Information Technology,VMware; Networking; LAN/WAN; CCNA; Firewall; Fortinet; ERP; Hardware; Project Management,10 to 12 years,building technology & ideas ltd.,Dhaka (Gulshan),"Bachelor’s/Master’s degree in Computer Science, CSE, Information Technology, Information Systems, or a related discipline. Professional certifications such as CCNA/CCNP, Fortinet, Microsoft, VMware, I",FullTime,Office,1,Negotiable,2026-09-23,2026-10-23,bdjobs.com,https://bdjobs.com/h/details/1537026
Data Artist- Associate (Morning & Afternoon Shift),Analytical Skill; Data analysis; Microsoft Office; Proficiency in English and Bangla; Data quality assurance; Market Research; Quality Control,NA,Catalyst Solutions,"Chattogram, Dhaka (DOHS Baridhara)","Bachelor of Science (BSc) in Computer Science & Engineering, Electrical & Electronic Engineering, Electronics and Telecommunication Engineering, Statistics, Mathematics",FullTime,Office,10,Tk. 18000 - 25000 (Monthly),2026-09-23,2026-10-23,bdjobs.com,https://bdjobs.com/h/details/1537032
"Mobile Application Developer, IT",Android application development; Dart; Flutter; iOS Application Development; JavaKotlin; MVVM; XML,"At least 4 years The applicants should have experience in the following business area(s): Group of Companies, IT Enabled Service, Manufacturing (FMCG)",Meghna Group of Industries.,Dhaka (Gulshan),"Bachelor of Science (BSc) in Computer Science & Engineering, Computer Science, Information Technology",FullTime,Office,1,Negotiable,2026-09-23,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1536953
Executive (CRM Online Sales),Digital Marketing (Social Media Marketing); Telemarketing; CRM Management; Telesales,NA,The Software Engineers,Anywhere in Bangladesh,Bachelor of Science (BSc),FullTime,Office,4,Tk. 15000 - 25000 (Monthly),2026-09-23,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1536982
"Deputy Manager, Sales & Marketing",Sales & Marketing; Negotiation Skill; Target Oriented; Strategic Planning,5 to 8 years The applicants should have experience in the following business area(s): Software Company,The Software Engineers,Anywhere in Bangladesh,Bachelor of Science (BSc),FullTime,Office,2,Tk. 20000 - 35000 (Monthly),2026-09-23,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1536976
Junior UI/UX Designer,Communication; Figma; Figma to HTML; Fluent in English; patience and flexible; UI; UX Design; Adobe Photoshop; Mockup; SketchUp; UIUX and graphic design,"At most 2 years The applicants should have experience in the following business area(s): Software Company, Logistic/Courier/Air Express Companies Freshers are also encouraged to apply.",Metafour Asia,Dhaka (Uttara Sector 7),Bachelor of Science (BSc) in Computer Science & Engineering UI/UX Related training,FullTime,Office,1,Tk. 25000 - 35000 (Monthly),2026-09-23,2026-10-22,bdjobs.com,https://bdjobs.com/h/details/1536666
